Name,Description,Quantity,Unit Cost,Total Cost,URL
"Blackmagic Design ATEM Mini Extreme ISO","8-input video switcher for live stream production.",1,1200.00,1200.00,"https://www.blackmagicdesign.com/products/atemmini"
"Soundproof Announcer Booth (Modular, 4x4 ft)","Portable, soundproof booth with observation window.",1,6000.00,6000.00,"https://www.vocalboothtogo.com/soundproof-vocal-booth-portable"
"Announcer Microphones (Shure SM58 equivalent)","Professional dynamic microphones for announcers.",2,200.00,400.00,"https://www.shure.com/en-US/products/microphones/sm58"
"Professional Audio Mixer (e.g., Behringer Xenyx Q1202USB)","Mixes announcer audio, music, and sound effects.",1,150.00,150.00,"https://www.behringer.com/product.html?model=P0A0Y"
"Powered PA Speakers (12-inch, 2-way, portable)","Main audience sound system (2x $300).",2,600.00,1200.00,"https://www.qsc.com/live-sound/products/loudspeakers/k-series/k122/"
"Modular Truss System (290mm box, 3m lengths)","For mounting lighting and overhead cameras (can double as camera rig frame).",8,1600.00,12800.00,"https://www.truss-works.com/box-truss/"
"LED Flood Lights (DMX compatible, 100W)","Arena illumination (4 per arena).",8,800.00,6400.00,"https://www.adj.com/par-z100-3k"
"RGB LED Strips (DMX compatible, 5m rolls)","Accent lighting, around arena perimeter or control areas.",4,200.00,800.00,"https://www.adafruit.com/product/1460"
"DMX Lighting Controller (USB-DMX interface)","Software-controlled DMX for lighting rig.",1,100.00,100.00,"https://www.enttec.com/product/controls/dmx-usb-interfaces/usb-dmx-pro/"
"Main Power Distribution Panel (Portable, 200A service)","Industrial grade portable PDU with multiple output breakers.",1,2500.00,2500.00,"https://www.lexproducts.com/products/power-distribution/portable-power-distribution"
"Sub-Panels / Breakout Boxes (Portable)","One for each arena, one for AV/Control room (3x $300).",3,900.00,2700.00,"https://www.lexproducts.com/products/power-distribution/portable-power-distribution"
"Industrial Power Cables (200A main, 50A/30A branches)","Heavy-duty feeder and branch circuit cables for main PDU.",1,1500.00,1500.00,"https://www.lexproducts.com/products/power-distribution/portable-power-distribution"
"Managed Gigabit Network Switch (24-port)","Central network for all PCs, IP cameras, etc.",1,300.00,300.00,"https://www.tp-link.com/us/business-networking/managed-switch/tl-sg2428p/"
"Gigabit Network Switch (8-port, unmanaged)","One for each player station for VR PCs (2x $50).",2,100.00,200.00,"https://www.tp-link.com/us/home-networking/soho-switch/tl-sg108/"
"Fiber Optic/Long-Range HDMI Extenders (for PTZ cams)","For PTZ cameras if distance to ATEM is >15m.",5,500.00,2500.00,"https://www.blackmagicdesign.com/products/bidifiberconverters"
"Industrial-Grade Ethernet Cables (Various Lengths)","Robust cabling for all network devices.",1,200.00,200.00,"https://www.mcmaster.com/ethernet-cables/industrial-ethernet-cables/"
"Control Room Console (Modular, foldable desks)","Modular work surface for PCs, displays, and equipment.",1,800.00,800.00,"https://www.gatorcases.com/products/pro-series-racks/g-tour-series-racks/g-tour-8u-dj-console-tour-style-8u-top-2u-bottom-rack-g-tour-ddc8x2"
"Monitors (24-inch, Full HD)","Referee displays, connected to ATEM multiview or Arena Control PC.",2,300.00,600.00,"https://www.dell.com/en-us/shop/monitors"
"Player Station Desks/Chairs with Privacy Screens","Portable, collapsible player setups (2x $200).",2,400.00,800.00,"https://www.amazon.com/Folding-Table-Privacy-Screen/s?k=Folding+Table+Privacy+Screen"
"Global Emergency Stop Button (Latching, Wired to Main PDU)","Central E-Stop for entire system, hardwired to power distribution.",1,50.00,50.00,"https://www.adafruit.com/product/3429"
"Custom Flight Cases / Road Cases (for sensitive equipment)","Protective cases for PCs, cameras, ATEM, audio gear.",1,3000.00,3000.00,"https://www.gatorcases.com/products/pro-series-racks/"
"Cable Management Solutions (Truss ties, Velcro straps, floor ramps)","For safe and organized cable runs throughout the venue.",1,200.00,200.00,"https://www.mcmaster.com/cable-management"
